Using device: cpu
-----------------------------------------------------------------------------------------
| epoch   3 |   100/ 2826 batches | lr 20.00 | ms/batch 240.27 | loss  4.51 | ppl    91.04
| epoch   3 |   200/ 2826 batches | lr 20.00 | ms/batch 285.03 | loss  4.46 | ppl    86.35
| epoch   3 |   300/ 2826 batches | lr 20.00 | ms/batch 218.78 | loss  4.42 | ppl    83.04
| epoch   3 |   400/ 2826 batches | lr 20.00 | ms/batch 179.71 | loss  4.48 | ppl    88.01
| epoch   3 |   500/ 2826 batches | lr 20.00 | ms/batch 219.14 | loss  4.45 | ppl    85.63
| epoch   3 |   600/ 2826 batches | lr 20.00 | ms/batch 230.76 | loss  4.44 | ppl    84.57
| epoch   3 |   700/ 2826 batches | lr 20.00 | ms/batch 229.77 | loss  4.38 | ppl    80.23
| epoch   3 |   800/ 2826 batches | lr 20.00 | ms/batch 193.53 | loss  4.43 | ppl    83.70
| epoch   3 |   900/ 2826 batches | lr 20.00 | ms/batch 193.32 | loss  4.42 | ppl    83.00
| epoch   3 |  1000/ 2826 batches | lr 20.00 | ms/batch 202.96 | loss  4.45 | ppl    85.66
| epoch   3 |  1100/ 2826 batches | lr 20.00 | ms/batch 252.00 | loss  4.42 | ppl    83.32
| epoch   3 |  1200/ 2826 batches | lr 20.00 | ms/batch 237.89 | loss  4.43 | ppl    84.19
| epoch   3 |  1300/ 2826 batches | lr 20.00 | ms/batch 223.79 | loss  4.39 | ppl    80.64
| epoch   3 |  1400/ 2826 batches | lr 20.00 | ms/batch 269.33 | loss  4.41 | ppl    82.22
| epoch   3 |  1500/ 2826 batches | lr 20.00 | ms/batch 341.35 | loss  4.42 | ppl    83.10
| epoch   3 |  1600/ 2826 batches | lr 20.00 | ms/batch 344.66 | loss  4.38 | ppl    79.54
| epoch   3 |  1700/ 2826 batches | lr 20.00 | ms/batch 292.17 | loss  4.39 | ppl    80.93
| epoch   3 |  1800/ 2826 batches | lr 20.00 | ms/batch 304.95 | loss  4.44 | ppl    84.89
| epoch   3 |  1900/ 2826 batches | lr 20.00 | ms/batch 278.60 | loss  4.40 | ppl    81.51
| epoch   3 |  2000/ 2826 batches | lr 20.00 | ms/batch 244.39 | loss  4.41 | ppl    81.97
| epoch   3 |  2100/ 2826 batches | lr 20.00 | ms/batch 252.76 | loss  4.39 | ppl    80.97
| epoch   3 |  2200/ 2826 batches | lr 20.00 | ms/batch 228.17 | loss  4.37 | ppl    79.33
| epoch   3 |  2300/ 2826 batches | lr 20.00 | ms/batch 233.95 | loss  4.43 | ppl    83.97
| epoch   3 |  2400/ 2826 batches | lr 20.00 | ms/batch 213.58 | loss  4.42 | ppl    82.84
| epoch   3 |  2500/ 2826 batches | lr 20.00 | ms/batch 230.79 | loss  4.40 | ppl    81.60
