epoch,train_ppl,valid_ppl
1,1.0487038035809286,143.86912198926206
2,1.0479404594650066,129.37596956912162
3,1.0476114837378356,122.54192536233032
4,1.0475346923809585,119.85105260119393
5,1.0474419183587689,118.99852304966215
6,1.047418345455873,117.08148114221414
7,1.0474306432201428,116.49239442292439
8,1.0473317835841558,116.1788853599521
9,1.0473132385707173,115.00774077279951
10,1.0473576117267585,113.67600068416257
